source,sample_id,image_path,gesture,mst_score,mst_proxy_from_race,mst_proxy_range,race,gender,age,hand_scale,landmark_source
freihand,13741,datasets/FreiHAND_pub_v2/training/rgb/00013741.jpg,,6,,,,,,0.0303612098341315,freihand_3d_projected
freihand,30992,datasets/FreiHAND_pub_v2/training/rgb/00030992.jpg,,7,,,,,,0.0279275094202558,freihand_3d_projected
freihand,22586,datasets/FreiHAND_pub_v2/training/rgb/00022586.jpg,,9,,,,,,0.0262572034767938,freihand_3d_projected
freihand,20582,datasets/FreiHAND_pub_v2/training/rgb/00020582.jpg,,8,,,,,,0.0341314951343759,freihand_3d_projected
freihand,5836,datasets/FreiHAND_pub_v2/training/rgb/00005836.jpg,,6,,,,,,0.034047076641079,freihand_3d_projected
freihand,17709,datasets/FreiHAND_pub_v2/training/rgb/00017709.jpg,,5,,,,,,0.0331786266519438,freihand_3d_projected
freihand,15223,datasets/FreiHAND_pub_v2/training/rgb/00015223.jpg,,9,,,,,,0.0274596379751454,freihand_3d_projected
freihand,27332,datasets/FreiHAND_pub_v2/training/rgb/00027332.jpg,,5,,,,,,0.0309925817435385,freihand_3d_projected
freihand,14394,datasets/FreiHAND_pub_v2/training/rgb/00014394.jpg,,7,,,,,,0.0277042923809259,freihand_3d_projected
freihand,17886,datasets/FreiHAND_pub_v2/training/rgb/00017886.jpg,,7,,,,,,0.0228038520755454,freihand_3d_projected
freihand,24363,datasets/FreiHAND_pub_v2/training/rgb/00024363.jpg,,7,,,,,,0.0271748088734676,freihand_3d_projected
freihand,25689,datasets/FreiHAND_pub_v2/training/rgb/00025689.jpg,,6,,,,,,0.0303580907323757,freihand_3d_projected
freihand,25458,datasets/FreiHAND_pub_v2/training/rgb/00025458.jpg,,8,,,,,,0.0274254890589683,freihand_3d_projected
freihand,26647,datasets/FreiHAND_pub_v2/training/rgb/00026647.jpg,,5,,,,,,0.030649934028856,freihand_3d_projected
freihand,31450,datasets/FreiHAND_pub_v2/training/rgb/00031450.jpg,,6,,,,,,0.0339531152696093,freihand_3d_projected
freihand,5308,datasets/FreiHAND_pub_v2/training/rgb/00005308.jpg,,8,,,,,,0.0325230558329736,freihand_3d_projected
freihand,11089,datasets/FreiHAND_pub_v2/training/rgb/00011089.jpg,,7,,,,,,0.0291931825245334,freihand_3d_projected
freihand,29629,datasets/FreiHAND_pub_v2/training/rgb/00029629.jpg,,7,,,,,,0.0304916411313468,freihand_3d_projected
freihand,26450,datasets/FreiHAND_pub_v2/training/rgb/00026450.jpg,,4,,,,,,0.0207353439660301,freihand_3d_projected
freihand,24856,datasets/FreiHAND_pub_v2/training/rgb/00024856.jpg,,6,,,,,,0.0285739947884334,freihand_3d_projected
freihand,16787,datasets/FreiHAND_pub_v2/training/rgb/00016787.jpg,,9,,,,,,0.0227727864662954,freihand_3d_projected
freihand,30352,datasets/FreiHAND_pub_v2/training/rgb/00030352.jpg,,8,,,,,,0.0263221347517677,freihand_3d_projected
freihand,3056,datasets/FreiHAND_pub_v2/training/rgb/00003056.jpg,,4,,,,,,0.0295135432010371,freihand_3d_projected
freihand,15818,datasets/FreiHAND_pub_v2/training/rgb/00015818.jpg,,6,,,,,,0.026788460347486,freihand_3d_projected
freihand,22142,datasets/FreiHAND_pub_v2/training/rgb/00022142.jpg,,7,,,,,,0.034493341104481,freihand_3d_projected
freihand,22107,datasets/FreiHAND_pub_v2/training/rgb/00022107.jpg,,6,,,,,,0.033846888916713,freihand_3d_projected
freihand,32557,datasets/FreiHAND_pub_v2/training/rgb/00032557.jpg,,6,,,,,,0.0309862279755039,freihand_3d_projected
freihand,23074,datasets/FreiHAND_pub_v2/training/rgb/00023074.jpg,,6,,,,,,0.0259377518472079,freihand_3d_projected
freihand,10576,datasets/FreiHAND_pub_v2/training/rgb/00010576.jpg,,1,,,,,,0.0319993266297899,freihand_3d_projected
freihand,23600,datasets/FreiHAND_pub_v2/training/rgb/00023600.jpg,,5,,,,,,0.0291403036363771,freihand_3d_projected
freihand,22506,datasets/FreiHAND_pub_v2/training/rgb/00022506.jpg,,8,,,,,,0.0322967427066894,freihand_3d_projected
freihand,1023,datasets/FreiHAND_pub_v2/training/rgb/00001023.jpg,,6,,,,,,0.029463687675333,freihand_3d_projected
freihand,30959,datasets/FreiHAND_pub_v2/training/rgb/00030959.jpg,,3,,,,,,0.0314798944449237,freihand_3d_projected
freihand,6232,datasets/FreiHAND_pub_v2/training/rgb/00006232.jpg,,8,,,,,,0.0227242761887896,freihand_3d_projected
freihand,2918,datasets/FreiHAND_pub_v2/training/rgb/00002918.jpg,,7,,,,,,0.0275781358763761,freihand_3d_projected
freihand,26070,datasets/FreiHAND_pub_v2/training/rgb/00026070.jpg,,8,,,,,,0.0276233419215607,freihand_3d_projected
freihand,28819,datasets/FreiHAND_pub_v2/training/rgb/00028819.jpg,,5,,,,,,0.0315083760323121,freihand_3d_projected
freihand,27203,datasets/FreiHAND_pub_v2/training/rgb/00027203.jpg,,7,,,,,,0.02430440358374,freihand_3d_projected
freihand,13941,datasets/FreiHAND_pub_v2/training/rgb/00013941.jpg,,6,,,,,,0.0302254802319533,freihand_3d_projected
freihand,10534,datasets/FreiHAND_pub_v2/training/rgb/00010534.jpg,,7,,,,,,0.0318883901303817,freihand_3d_projected
freihand,26059,datasets/FreiHAND_pub_v2/training/rgb/00026059.jpg,,7,,,,,,0.0271026968524488,freihand_3d_projected
freihand,25359,datasets/FreiHAND_pub_v2/training/rgb/00025359.jpg,,6,,,,,,0.0229166163085236,freihand_3d_projected
freihand,28703,datasets/FreiHAND_pub_v2/training/rgb/00028703.jpg,,7,,,,,,0.0255898149266093,freihand_3d_projected
freihand,4433,datasets/FreiHAND_pub_v2/training/rgb/00004433.jpg,,9,,,,,,0.0279618401918237,freihand_3d_projected
freihand,5328,datasets/FreiHAND_pub_v2/training/rgb/00005328.jpg,,8,,,,,,0.0282197355761049,freihand_3d_projected
freihand,10374,datasets/FreiHAND_pub_v2/training/rgb/00010374.jpg,,6,,,,,,0.0313890277058922,freihand_3d_projected
freihand,3948,datasets/FreiHAND_pub_v2/training/rgb/00003948.jpg,,7,,,,,,0.028380845416361,freihand_3d_projected
