gesture,image_id,leading_hand,has_local_image,image_path
palm,e56d108e-43d0-423e-9327-204db74dea99,left,False,
palm,f983155f-4c41-4314-8f4e-b6bd1fadd788,left,False,
palm,f1d33275-b807-47ee-9491-44a9d8515879,left,False,
palm,59e8340d-6991-4001-a1b8-db7878658e99,left,False,
palm,ceccb2cf-6255-4a02-a8f1-df179591dfaf,left,False,
palm,6601c505-c007-44aa-acea-86ebcab7f125,left,False,
palm,ca6c76b5-ce09-42b6-bba6-6a37b6137696,left,False,
palm,b30f85ca-dca0-4bbe-b958-182f4eb4a271,left,False,
palm,5e132101-6857-4c16-ae61-22d632057ca8,left,False,
palm,82c293a2-6ced-496b-b2e7-52f3c6409981,left,False,
palm,f02e9717-7d28-4e63-96ba-68b8de7bbb2f,left,False,
palm,50794ef4-465c-4b37-a7b1-9d61eedade54,left,False,
palm,05a6ff63-5eb2-4ad7-944f-896c79f47d79,left,False,
palm,8f4c7ac3-fd35-453a-b2ec-8f900aa04b86,left,False,
palm,d2e00074-e772-4aef-aebb-84a05a3de2a8,left,False,
palm,92a51477-bc3f-404b-9d6e-9f1312d109ed,left,False,
palm,fb1bcf33-728f-408e-a781-d911cf0873d8,left,False,
palm,e09825d2-18dd-4642-9e4c-9a3432d88007,left,False,
palm,bf25b6f4-fe27-43dc-b330-a97c4e4f2589,left,False,
palm,69e4ef92-1ce2-4845-9795-5186ec6d3fbf,left,False,
palm,76a9954b-4068-4a36-b94c-c58afc410cf3,left,False,
palm,4cd5802c-c321-4c5f-a2ac-e9425b23b39d,left,False,
palm,53fa740d-fd0b-495e-b919-559e0f77bd41,left,False,
palm,75e472d5-a4b0-478a-8dd8-05911dc73e56,left,False,
palm,44642202-1316-498b-a96d-e36bcdbee350,left,False,
palm,e29d8b4f-e3a1-42b3-be54-f4496897c1ac,left,False,
palm,5edd7c5d-53c3-40ba-889f-7d337f11f66b,left,False,
palm,2b180040-78e0-4107-abe3-793a9a17e2ba,left,False,
palm,cf0c93c8-cfa2-4dd0-9f88-7bfd05993829,left,False,
palm,aefafbcf-1d96-4768-8383-72733e02dbfb,left,False,
palm,874ed247-4821-4782-a4ca-4ad928c9cca4,left,False,
palm,74b6bd27-f2cd-405a-bc9a-0a507003ef0c,left,False,
palm,0f6930ef-5d7b-40de-949f-6385f5782dca,left,False,
palm,b1ea5f15-5044-4fd2-88be-0523bfa14103,left,False,
palm,b5232f33-22eb-4292-b899-560ba9fff846,left,False,
palm,4454594b-db00-48f9-bba3-19fbca8005ba,left,False,
palm,016e4ecf-6229-4931-88e6-ab02b8682d5d,left,False,
palm,3a434bb9-c88b-46e3-a15a-b6663c9e8062,left,False,
palm,53a11ed8-cc96-437b-b6dd-9e774a069cad,left,False,
palm,25402681-d0f6-425f-91b5-8b0a4f7c2300,left,False,
palm,36307b4f-1df2-4546-995d-faa5ffacb907,left,False,
palm,f8ed8b87-4ddd-4c26-95ad-59e2fdf7be53,left,False,
palm,b50c3b32-5e27-4689-909b-c0cfef74e7d8,left,False,
palm,c324fd45-e4ab-421e-a6bf-2a05b30657e5,left,False,
palm,32b92e17-cc39-4a94-8391-28db6ba341bd,left,False,
palm,cfea292c-4926-4857-978f-2b9ce012b906,left,False,
palm,23bc90cb-fbb6-47ab-a86f-2daef960f7b1,left,False,
palm,6b3567cf-807b-4bba-b93f-eaf7e42ea117,left,False,
palm,48519e1d-694d-4b77-a3f2-2ee6cdc2ece4,left,False,
palm,2ad70c0c-6f1b-41a7-bb27-35b87442fafd,left,False,
palm,195a30f4-c58b-4357-a96d-ad26ad1a448b,left,False,
palm,04501d20-db60-4946-b155-256aad99e6f4,left,False,
palm,4c8dd677-ab17-4fb5-bb5b-586fbb755e53,left,False,
palm,1b63564f-4e0d-4e19-9eb6-0e666a8291db,left,False,
palm,cdd76179-a790-4991-a651-71ec93dc0ad1,left,False,
palm,223585f3-5460-46a4-9512-251bb8cd4647,left,False,
palm,355d62d0-39e8-4223-adfe-e08df41eb71f,left,False,
palm,a5a743ce-58e9-47c0-a76c-eb217a9a0a9f,left,False,
palm,02713f78-9fb0-4069-9c90-84be8907d898,left,False,
palm,ad399370-b211-4114-9081-a5ee416d743d,left,False,
palm,67bcc478-629e-45fa-94f9-8682a9f4f388,left,False,
palm,f906e3b3-d8d8-43b7-a8e8-e50f53b6a73f,left,False,
palm,38b17429-e4ce-48cf-b14b-f24ff21552b7,left,False,
palm,63a1f187-faf3-4fb1-9ddc-a9a91fdde91a,left,False,
palm,b1d6a796-ed5d-47b0-af30-fefe7032a730,left,False,
palm,473e9e90-9be6-41da-a193-6f90e4864b46,left,False,
palm,dc421213-7096-4eac-ae11-c31b5c1d49c0,left,False,
palm,5cad02f8-c261-461b-9cc8-f888103bf01f,left,False,
palm,7d121aec-cee7-4587-8c53-318d0d6c1bf9,left,False,
palm,f45fcb43-2f88-42bd-bf33-f1e0ff1fe94f,left,False,
palm,886de6cd-efac-4296-aa66-b134eaf532ca,left,False,
palm,0ab9350f-b151-4395-a07a-b99eed909b20,left,False,
palm,e6f25cea-f3f4-493d-9434-b853a1f51750,left,False,
palm,e57ebd89-05a3-4a8b-85e4-61f40c1d97f9,left,False,
palm,281cd3be-e4fa-4f12-b6fc-9f51d283204b,left,False,
palm,05d43a72-c865-44b9-bd83-3641c045ad79,left,False,
palm,d2a50d8d-b0a7-43f8-a5b1-1a295d2c57cc,left,False,
palm,e5f4089b-605d-4f4a-8dfe-f2ec0e7ed462,left,False,
palm,4a2ffd6d-24b6-42b4-8b94-cd8743616700,left,False,
palm,365578ce-0c05-436a-897f-294efb9187ef,left,False,
palm,5e0ba76d-f769-41d3-847e-ce54618e005a,left,False,
palm,6c23bc07-69dc-4f76-aecd-1b1be2f0c197,left,False,
palm,db0da869-e6f0-4733-adf7-264403cf230b,left,False,
palm,f4b7aac4-55bc-4455-bbd5-052bcb1ef2a5,left,False,
palm,f46c9c1a-e0fd-4ccf-a5f2-0d85652a95da,left,False,
palm,0bde6f9e-750d-4efb-a5bd-0a143c629296,left,False,
palm,d753446a-5477-45d0-9b24-42c9ff18597a,left,False,
palm,537538d8-2861-4919-81d3-1e009d5509a3,left,False,
palm,7dd5afdc-9ebe-41b4-8175-8b722e7573e8,left,False,
palm,c7361e2c-bc08-49d5-b2b6-f7cdccbd09b1,left,False,
palm,5225e2a7-5592-414e-9ae2-3e261e2d54cc,left,False,
palm,81796d29-7ca0-40ee-b786-d0d283bbe288,left,False,
palm,c65200dd-af26-42c4-a9a2-ebef7cf44487,left,False,
palm,c683c25c-60bb-47e6-9fe9-c0ab7f822115,left,False,
palm,560cb002-c8b8-4c21-bcfd-bb0ed7978664,left,False,
palm,e30a8735-6801-41e1-bf37-8661599acb85,left,False,
palm,76954b58-6539-4317-a055-b8a37cd6ac39,left,False,
palm,39e54af8-3adb-4f48-9bac-32cd6a664749,left,False,
palm,ee22e636-bf9a-42d0-9c4d-8c66bdfb0f49,left,False,
palm,6689951c-43cb-4b10-adf3-149501dbb1b3,left,False,
palm,b3210784-f787-445b-ad81-211c0713a3bd,left,False,
palm,67a23135-178c-4c28-aed4-db9c75a6cddf,left,False,
palm,5eeda1bf-1d02-47b9-8695-38110108df75,left,False,
palm,690a9b15-5dac-4315-bdeb-a1c2dff870bf,left,False,
palm,2b3036d6-2824-4586-9486-0bc7d7cea59f,left,False,
palm,d9c246c1-5193-4819-8ffe-ac397b90f1b4,left,False,
palm,33df41ae-73d9-4f40-a5e7-428d0619c47f,left,False,
palm,a95c5df1-3881-43fb-abdd-443bf0066de9,left,False,
palm,bbfea9f0-f942-431f-9472-440089d490a1,left,False,
palm,eed76a20-6814-4004-a255-f86f0f94c2f7,left,False,
palm,49cdeff8-5b02-4c2d-8164-bf424a7d85ac,left,False,
palm,318eb48b-adf4-4ec7-b541-403f0a9de8ca,left,False,
palm,979cbbe8-ab2c-4569-bfdc-84131c0e664e,left,False,
palm,fc83983b-0238-4d93-879e-c3649a974d8a,left,False,
palm,0669b6a5-9bac-487e-9c62-4c7d91920a6b,left,False,
palm,e1b7f7d9-ebf7-4e21-b955-06b31ba74a3a,left,False,
palm,1c12d1e4-75ab-4a38-8279-710f836b385b,left,False,
palm,327ee4eb-ab78-4c60-988f-928f82730a7e,left,False,
palm,37c1230c-c155-4074-852c-081a74175d7a,left,False,
palm,3cf0c5c5-92c1-4ccc-a4b9-d768cae61c12,left,False,
palm,12862b30-57fb-4124-b885-d7f98f2676bf,left,False,
palm,8b39a27c-5044-4a12-81f5-384579019d31,left,False,
palm,6b083550-7c80-4103-814e-da37c52fafc0,left,False,
palm,a0b8e2d0-3d58-4931-9933-4e525213f873,left,False,
palm,117c6c89-b911-4fbd-a8ee-299bd39b4b81,left,False,
palm,7bf16446-0315-45b1-bbd4-8019bb993c9c,left,False,
palm,0804a1d1-9143-44b4-8ccb-c10de5a9e4af,left,False,
palm,de9f048c-33dd-49b7-b577-e70e39a3ce8e,left,False,
palm,c3e6e83a-abdf-44df-8f75-f8e19611915a,left,False,
palm,d53fbece-ac8e-4f5a-b889-a9d18e2edbb7,left,False,
palm,ff257dec-f926-4043-ba10-02de34434ef4,left,False,
palm,6aecd6ab-089d-4a9f-adca-5df007e753c6,left,False,
palm,fdf95cbd-f612-4306-82b1-906ab64e30c7,left,False,
palm,6e71ae23-86f3-4a2b-9877-402f9ba9aebc,left,False,
palm,484eed52-1d2b-49f7-ba4c-20918c758c13,left,False,
palm,5b9a2d67-7b5b-494d-93fb-2fa89fe9a91c,left,False,
palm,47595035-01ee-4918-9a02-3ad03a7578d2,left,False,
palm,74b51d56-c00d-4743-904e-c65b57b4767b,left,False,
palm,58303db5-e2f4-480a-8021-1d634585fb32,left,False,
palm,371d2617-a533-41b2-bcf0-9734183e2a27,left,False,
