source,sample_id,image_path,gesture,mst_score,mst_proxy_from_race,mst_proxy_range,race,gender,age,leading_hand,num_bboxes,num_hands_detected,hand_scale,landmark_source
freihand,6040,datasets/FreiHAND_pub_v2/training/rgb/00006040.jpg,,8,,,,,,,,,0.0281000296507091,freihand_3d_projected
freihand,17340,datasets/FreiHAND_pub_v2/training/rgb/00017340.jpg,,8,,,,,,,,,0.0273601640342028,freihand_3d_projected
freihand,27704,datasets/FreiHAND_pub_v2/training/rgb/00027704.jpg,,7,,,,,,,,,0.0254943382134387,freihand_3d_projected
freihand,14989,datasets/FreiHAND_pub_v2/training/rgb/00014989.jpg,,4,,,,,,,,,0.0292581927543904,freihand_3d_projected
freihand,15484,datasets/FreiHAND_pub_v2/training/rgb/00015484.jpg,,9,,,,,,,,,0.028169279710994,freihand_3d_projected
freihand,9165,datasets/FreiHAND_pub_v2/training/rgb/00009165.jpg,,5,,,,,,,,,0.0230693351107602,freihand_3d_projected
freihand,12728,datasets/FreiHAND_pub_v2/training/rgb/00012728.jpg,,5,,,,,,,,,0.0273503803142307,freihand_3d_projected
freihand,13035,datasets/FreiHAND_pub_v2/training/rgb/00013035.jpg,,5,,,,,,,,,0.0332629364944984,freihand_3d_projected
freihand,5615,datasets/FreiHAND_pub_v2/training/rgb/00005615.jpg,,6,,,,,,,,,0.0298445405880954,freihand_3d_projected
freihand,12080,datasets/FreiHAND_pub_v2/training/rgb/00012080.jpg,,4,,,,,,,,,0.0285210120781938,freihand_3d_projected
freihand,4474,datasets/FreiHAND_pub_v2/training/rgb/00004474.jpg,,8,,,,,,,,,0.0328365006497533,freihand_3d_projected
freihand,4860,datasets/FreiHAND_pub_v2/training/rgb/00004860.jpg,,7,,,,,,,,,0.0234399426458859,freihand_3d_projected
freihand,1760,datasets/FreiHAND_pub_v2/training/rgb/00001760.jpg,,5,,,,,,,,,0.0264515101445449,freihand_3d_projected
freihand,6173,datasets/FreiHAND_pub_v2/training/rgb/00006173.jpg,,4,,,,,,,,,0.032727727667233,freihand_3d_projected
freihand,32137,datasets/FreiHAND_pub_v2/training/rgb/00032137.jpg,,6,,,,,,,,,0.0281923142851623,freihand_3d_projected
freihand,7872,datasets/FreiHAND_pub_v2/training/rgb/00007872.jpg,,6,,,,,,,,,0.0340898224064857,freihand_3d_projected
freihand,4360,datasets/FreiHAND_pub_v2/training/rgb/00004360.jpg,,6,,,,,,,,,0.0248312636067139,freihand_3d_projected
freihand,21458,datasets/FreiHAND_pub_v2/training/rgb/00021458.jpg,,6,,,,,,,,,0.0277170656240316,freihand_3d_projected
freihand,3669,datasets/FreiHAND_pub_v2/training/rgb/00003669.jpg,,9,,,,,,,,,0.0298794098923872,freihand_3d_projected
freihand,4995,datasets/FreiHAND_pub_v2/training/rgb/00004995.jpg,,7,,,,,,,,,0.0275910337050725,freihand_3d_projected
freihand,18322,datasets/FreiHAND_pub_v2/training/rgb/00018322.jpg,,5,,,,,,,,,0.0251673945403994,freihand_3d_projected
freihand,23524,datasets/FreiHAND_pub_v2/training/rgb/00023524.jpg,,8,,,,,,,,,0.0304869229878218,freihand_3d_projected
freihand,16989,datasets/FreiHAND_pub_v2/training/rgb/00016989.jpg,,5,,,,,,,,,0.0223609627355864,freihand_3d_projected
freihand,8078,datasets/FreiHAND_pub_v2/training/rgb/00008078.jpg,,6,,,,,,,,,0.0317475113089104,freihand_3d_projected
freihand,20548,datasets/FreiHAND_pub_v2/training/rgb/00020548.jpg,,8,,,,,,,,,0.0281003318113889,freihand_3d_projected
freihand,24830,datasets/FreiHAND_pub_v2/training/rgb/00024830.jpg,,6,,,,,,,,,0.0280027740500025,freihand_3d_projected
freihand,13095,datasets/FreiHAND_pub_v2/training/rgb/00013095.jpg,,9,,,,,,,,,0.0263863815193387,freihand_3d_projected
freihand,7769,datasets/FreiHAND_pub_v2/training/rgb/00007769.jpg,,5,,,,,,,,,0.0299373814248613,freihand_3d_projected
freihand,20546,datasets/FreiHAND_pub_v2/training/rgb/00020546.jpg,,8,,,,,,,,,0.032213417964796,freihand_3d_projected
freihand,9505,datasets/FreiHAND_pub_v2/training/rgb/00009505.jpg,,7,,,,,,,,,0.0305201043415795,freihand_3d_projected
freihand,7650,datasets/FreiHAND_pub_v2/training/rgb/00007650.jpg,,6,,,,,,,,,0.0244393531390888,freihand_3d_projected
freihand,28425,datasets/FreiHAND_pub_v2/training/rgb/00028425.jpg,,5,,,,,,,,,0.0256785263691478,freihand_3d_projected
freihand,27941,datasets/FreiHAND_pub_v2/training/rgb/00027941.jpg,,7,,,,,,,,,0.0309521004541868,freihand_3d_projected
freihand,18504,datasets/FreiHAND_pub_v2/training/rgb/00018504.jpg,,9,,,,,,,,,0.0228596833307331,freihand_3d_projected
freihand,26032,datasets/FreiHAND_pub_v2/training/rgb/00026032.jpg,,5,,,,,,,,,0.0218309749847193,freihand_3d_projected
freihand,26392,datasets/FreiHAND_pub_v2/training/rgb/00026392.jpg,,7,,,,,,,,,0.0270807018764442,freihand_3d_projected
freihand,14057,datasets/FreiHAND_pub_v2/training/rgb/00014057.jpg,,6,,,,,,,,,0.0283804622038532,freihand_3d_projected
freihand,20499,datasets/FreiHAND_pub_v2/training/rgb/00020499.jpg,,7,,,,,,,,,0.0297792261293911,freihand_3d_projected
freihand,3540,datasets/FreiHAND_pub_v2/training/rgb/00003540.jpg,,5,,,,,,,,,0.0217635592936941,freihand_3d_projected
freihand,26169,datasets/FreiHAND_pub_v2/training/rgb/00026169.jpg,,8,,,,,,,,,0.0328753552351952,freihand_3d_projected
freihand,30206,datasets/FreiHAND_pub_v2/training/rgb/00030206.jpg,,7,,,,,,,,,0.0294313903073769,freihand_3d_projected
freihand,9966,datasets/FreiHAND_pub_v2/training/rgb/00009966.jpg,,8,,,,,,,,,0.0270311477465123,freihand_3d_projected
freihand,30038,datasets/FreiHAND_pub_v2/training/rgb/00030038.jpg,,6,,,,,,,,,0.0264377970451449,freihand_3d_projected
freihand,14263,datasets/FreiHAND_pub_v2/training/rgb/00014263.jpg,,8,,,,,,,,,0.030938090572355,freihand_3d_projected
freihand,17329,datasets/FreiHAND_pub_v2/training/rgb/00017329.jpg,,4,,,,,,,,,0.0310273331929659,freihand_3d_projected
freihand,21529,datasets/FreiHAND_pub_v2/training/rgb/00021529.jpg,,7,,,,,,,,,0.028052011849996,freihand_3d_projected
freihand,8944,datasets/FreiHAND_pub_v2/training/rgb/00008944.jpg,,9,,,,,,,,,0.0277029881104616,freihand_3d_projected
freihand,6496,datasets/FreiHAND_pub_v2/training/rgb/00006496.jpg,,6,,,,,,,,,0.0318750073009246,freihand_3d_projected
freihand,22250,datasets/FreiHAND_pub_v2/training/rgb/00022250.jpg,,6,,,,,,,,,0.0241178395851665,freihand_3d_projected
freihand,11715,datasets/FreiHAND_pub_v2/training/rgb/00011715.jpg,,6,,,,,,,,,0.0308882792530823,freihand_3d_projected
freihand,26157,datasets/FreiHAND_pub_v2/training/rgb/00026157.jpg,,7,,,,,,,,,0.0277855741289504,freihand_3d_projected
freihand,8355,datasets/FreiHAND_pub_v2/training/rgb/00008355.jpg,,5,,,,,,,,,0.0345296298137978,freihand_3d_projected
freihand,31237,datasets/FreiHAND_pub_v2/training/rgb/00031237.jpg,,7,,,,,,,,,0.0320529263048946,freihand_3d_projected
freihand,18109,datasets/FreiHAND_pub_v2/training/rgb/00018109.jpg,,6,,,,,,,,,0.0250750228688645,freihand_3d_projected
freihand,12418,datasets/FreiHAND_pub_v2/training/rgb/00012418.jpg,,8,,,,,,,,,0.022254167614942,freihand_3d_projected
freihand,11076,datasets/FreiHAND_pub_v2/training/rgb/00011076.jpg,,9,,,,,,,,,0.0331876364692551,freihand_3d_projected
freihand,29997,datasets/FreiHAND_pub_v2/training/rgb/00029997.jpg,,5,,,,,,,,,0.0352313605359593,freihand_3d_projected
freihand,25686,datasets/FreiHAND_pub_v2/training/rgb/00025686.jpg,,8,,,,,,,,,0.0312662340056,freihand_3d_projected
freihand,19180,datasets/FreiHAND_pub_v2/training/rgb/00019180.jpg,,5,,,,,,,,,0.0343744706243153,freihand_3d_projected
freihand,21354,datasets/FreiHAND_pub_v2/training/rgb/00021354.jpg,,8,,,,,,,,,0.0303087170702998,freihand_3d_projected
freihand,6729,datasets/FreiHAND_pub_v2/training/rgb/00006729.jpg,,8,,,,,,,,,0.0244228282705406,freihand_3d_projected
freihand,16423,datasets/FreiHAND_pub_v2/training/rgb/00016423.jpg,,7,,,,,,,,,0.0235899429104134,freihand_3d_projected
freihand,22897,datasets/FreiHAND_pub_v2/training/rgb/00022897.jpg,,6,,,,,,,,,0.0319855236108659,freihand_3d_projected
freihand,9985,datasets/FreiHAND_pub_v2/training/rgb/00009985.jpg,,8,,,,,,,,,0.0321938504272354,freihand_3d_projected
freihand,28284,datasets/FreiHAND_pub_v2/training/rgb/00028284.jpg,,9,,,,,,,,,0.0330260669775472,freihand_3d_projected
freihand,8288,datasets/FreiHAND_pub_v2/training/rgb/00008288.jpg,,5,,,,,,,,,0.0339248369270622,freihand_3d_projected
freihand,14762,datasets/FreiHAND_pub_v2/training/rgb/00014762.jpg,,6,,,,,,,,,0.0285747106432717,freihand_3d_projected
freihand,16652,datasets/FreiHAND_pub_v2/training/rgb/00016652.jpg,,5,,,,,,,,,0.0213728672042428,freihand_3d_projected
freihand,23788,datasets/FreiHAND_pub_v2/training/rgb/00023788.jpg,,5,,,,,,,,,0.0254123720803374,freihand_3d_projected
freihand,7137,datasets/FreiHAND_pub_v2/training/rgb/00007137.jpg,,7,,,,,,,,,0.0202968984969517,freihand_3d_projected
freihand,16369,datasets/FreiHAND_pub_v2/training/rgb/00016369.jpg,,4,,,,,,,,,0.0304639717187697,freihand_3d_projected
freihand,22493,datasets/FreiHAND_pub_v2/training/rgb/00022493.jpg,,7,,,,,,,,,0.0223152591194843,freihand_3d_projected
freihand,17526,datasets/FreiHAND_pub_v2/training/rgb/00017526.jpg,,7,,,,,,,,,0.0325466734640334,freihand_3d_projected
freihand,26355,datasets/FreiHAND_pub_v2/training/rgb/00026355.jpg,,5,,,,,,,,,0.0331972407528435,freihand_3d_projected
freihand,19362,datasets/FreiHAND_pub_v2/training/rgb/00019362.jpg,,8,,,,,,,,,0.0355653527855483,freihand_3d_projected
freihand,7039,datasets/FreiHAND_pub_v2/training/rgb/00007039.jpg,,4,,,,,,,,,0.0303728659042167,freihand_3d_projected
freihand,14524,datasets/FreiHAND_pub_v2/training/rgb/00014524.jpg,,6,,,,,,,,,0.0230376091258608,freihand_3d_projected
freihand,29165,datasets/FreiHAND_pub_v2/training/rgb/00029165.jpg,,7,,,,,,,,,0.0207566595743068,freihand_3d_projected
freihand,14858,datasets/FreiHAND_pub_v2/training/rgb/00014858.jpg,,9,,,,,,,,,0.0268822279121985,freihand_3d_projected
freihand,27582,datasets/FreiHAND_pub_v2/training/rgb/00027582.jpg,,6,,,,,,,,,0.0289920001637732,freihand_3d_projected
freihand,4241,datasets/FreiHAND_pub_v2/training/rgb/00004241.jpg,,7,,,,,,,,,0.0258819496072996,freihand_3d_projected
freihand,21868,datasets/FreiHAND_pub_v2/training/rgb/00021868.jpg,,8,,,,,,,,,0.0330168585884207,freihand_3d_projected
freihand,22762,datasets/FreiHAND_pub_v2/training/rgb/00022762.jpg,,7,,,,,,,,,0.0289905716868775,freihand_3d_projected
freihand,25858,datasets/FreiHAND_pub_v2/training/rgb/00025858.jpg,,9,,,,,,,,,0.0327997584266784,freihand_3d_projected
freihand,26891,datasets/FreiHAND_pub_v2/training/rgb/00026891.jpg,,6,,,,,,,,,0.0294089556265129,freihand_3d_projected
